year,borough,community_board,complaint_type,status_cal,count,avg,avg,avg
2010,BROOKLYN,309,Sanitation Condition,Closed,304,,,1.2236842105263158
2010,BROOKLYN,309,snow,Closed,115,,,3.7391304347826087
2010,BROOKLYN,309,Sweeping Complaint,Closed,25,,,1.2400000000000000
2010,BROOKLYN,309,Vacant Lot,Closed,14,,,29.0714285714285714
2010,BROOKLYN,310,Collection Truck Noise,Closed,2,,,1.00000000000000000000
2010,BROOKLYN,310,Derelict Bicycle,Closed,4,,,1.2500000000000000
2010,BROOKLYN,310,Derelict Vehicles,Closed,126,,,1.4603174603174603
2010,BROOKLYN,310,Dirty Conditions,Closed,511,,,4.8454011741682975
2010,BROOKLYN,310,Graffiti,Closed,101,,,60.9801980198019802
2010,BROOKLYN,310,Graffiti,Open,2,4266.0000000000000000,,
2010,BROOKLYN,310,Litter Basket Complaint,Closed,27,,,1.5185185185185185
2010,BROOKLYN,310,Missed Collection,Closed,222,,,1.2387387387387387
2010,BROOKLYN,310,Other Enforcement,Closed,94,,,3.7765957446808511
2010,BROOKLYN,310,Overflowing Litter Baskets,Closed,32,,,0.93750000000000000000
2010,BROOKLYN,310,Recycling Enforcement,Closed,22,,,5.5454545454545455
2010,BROOKLYN,310,Sanitation Condition,Closed,490,,,1.1428571428571429
2010,BROOKLYN,310,snow,Closed,245,,,5.1714285714285714
2010,BROOKLYN,310,Sweeping Complaint,Closed,57,,,1.0175438596491228
2010,BROOKLYN,310,Vacant Lot,Closed,31,,,12.0645161290322581
2010,BROOKLYN,311,Collection Truck Noise,Closed,2,,,1.00000000000000000000
2010,BROOKLYN,311,Derelict Bicycle,Closed,1,,,2.0000000000000000
2010,BROOKLYN,311,Derelict Vehicles,Closed,211,,,1.6398104265402844
2010,BROOKLYN,311,Dirty Conditions,Closed,844,,,4.8969194312796209
2010,BROOKLYN,311,Graffiti,Closed,267,,,55.6292134831460674
2010,BROOKLYN,311,Graffiti,Open,2,4244.5000000000000000,,
2010,BROOKLYN,311,Litter Basket Complaint,Closed,49,,,2.0816326530612245
2010,BROOKLYN,311,Missed Collection,Closed,402,,,1.6417910447761194
2010,BROOKLYN,311,Other Enforcement,Closed,142,,,4.0774647887323944
2010,BROOKLYN,311,Overflowing Litter Baskets,Closed,30,,,1.1000000000000000
2010,BROOKLYN,311,Recycling Enforcement,Closed,39,,,5.6923076923076923
2010,BROOKLYN,311,Sanitation Condition,Closed,810,,,1.5703703703703704
2010,BROOKLYN,311,snow,Closed,291,,,5.4295532646048110
2010,BROOKLYN,311,Sweeping Complaint,Closed,64,,,1.1250000000000000
2010,BROOKLYN,311,Vacant Lot,Closed,20,,,16.2500000000000000
2010,BROOKLYN,311,Vacant Lot,Open,2,4331.5000000000000000,,
2010,BROOKLYN,312,Collection Truck Noise,Closed,5,,,0.60000000000000000000
2010,BROOKLYN,312,Derelict Vehicles,Closed,312,,,0.79487179487179487179
2010,BROOKLYN,312,Dirty Conditions,Closed,574,,,5.1707317073170732
2010,BROOKLYN,312,Graffiti,Closed,485,,,62.4432989690721649
2010,BROOKLYN,312,Graffiti,Open,18,4322.6111111111111111,4446.0000000000000000,
2010,BROOKLYN,312,Litter Basket Complaint,Closed,40,,,1.1500000000000000
2010,BROOKLYN,312,Missed Collection,Closed,426,,,0.89436619718309859155
2010,BROOKLYN,312,Other Enforcement,Closed,126,,,3.6349206349206349
2010,BROOKLYN,312,Overflowing Litter Baskets,Closed,47,,,1.0638297872340426
2010,BROOKLYN,312,Recycling Enforcement,Closed,84,,,6.5119047619047619
2010,BROOKLYN,312,Sanitation Condition,Closed,903,,,0.92469545957918050941
2010,BROOKLYN,312,snow,Closed,409,,,3.2762836185819071
2010,BROOKLYN,312,Sweeping Complaint,Closed,56,,,0.71428571428571428571
2010,BROOKLYN,312,Vacant Lot,Closed,18,,,22.1111111111111111
2010,BROOKLYN,313,Adopt-A-Basket,Closed,1,,,8.0000000000000000
2010,BROOKLYN,313,Collection Truck Noise,Closed,3,,,0.33333333333333333333
2010,BROOKLYN,313,Derelict Bicycle,Closed,1,,,2.0000000000000000
2010,BROOKLYN,313,Derelict Vehicles,Closed,90,,,0.80000000000000000000
2010,BROOKLYN,313,Dirty Conditions,Closed,237,,,5.7004219409282700
2010,BROOKLYN,313,Graffiti,Closed,46,,,61.5000000000000000
2010,BROOKLYN,313,Graffiti,Open,2,4260.0000000000000000,,
2010,BROOKLYN,313,Litter Basket Complaint,Closed,15,,,1.5333333333333333
